kata,1,2,3,4,5,6,7,8,9
along,0,0,0,0,1,0,0,0,0
ill,0,0,0,0,1,0,0,1,0
wait,0,0,0,0,1,0,0,0,0
minute,0,0,0,0,1,0,0,0,0
everything,0,0,0,0,1,0,0,0,0
anybody,0,0,0,0,0,1,0,0,0
younger,0,0,0,0,0,4,0,0,0
today,0,0,0,0,0,2,0,0,0
needed,0,0,0,0,0,2,0,0,0
anybodys,0,0,0,0,0,2,0,0,0
days,0,0,0,0,0,2,0,0,0
selfassured,0,0,0,0,0,2,0,0,0
changed,0,0,0,0,0,3,0,0,0
opened,0,0,0,0,0,2,0,0,0
doors,0,0,0,0,0,2,0,0,0
feeling,0,0,0,0,0,3,0,0,0
appreciate,0,0,0,0,0,3,0,0,0
round,0,0,0,0,0,3,0,0,0
feet,0,0,0,0,0,3,0,0,0
ground,0,0,0,0,0,3,0,0,0
wont,0,0,0,0,0,3,0,0,0
oh,0,0,0,0,0,1,0,0,0
many,0,0,0,0,0,1,0,0,0
ways,0,0,0,0,0,1,0,0,0
independence,0,0,0,0,0,1,0,0,0
vanish,0,0,0,0,0,1,0,0,0
haze,0,0,0,0,0,1,0,0,0
insecure,0,0,0,0,0,1,0,0,0
done,0,0,0,0,0,1,0,0,0
ooo,0,0,0,0,0,1,0,0,0
carterlewis,0,0,0,0,0,0,1,0,0
lookin,0,0,0,0,0,0,1,0,0
hear,0,0,0,0,0,0,12,0,0
heartbeat,0,0,0,0,0,0,12,0,0
car,0,0,0,0,0,0,1,0,0
walking,0,0,0,0,0,0,1,0,0
highway,0,0,0,0,0,0,1,0,0
closer,0,0,0,0,0,0,1,0,0
ooowee,0,0,0,0,0,0,1,0,0
poundin,0,0,0,0,0,0,3,0,0
put,0,0,0,0,0,0,1,0,0
arms,0,0,0,0,0,0,1,0,0
glad,0,0,0,0,0,0,2,0,0
mighty,0,0,0,0,0,0,1,0,0
found,0,0,0,0,0,0,1,0,0
asked,0,0,0,0,0,0,1,0,0
meet,0,0,0,0,0,0,2,0,0
knew,0,0,0,0,0,0,1,0,0
wed,0,0,0,0,0,0,1,0,0
going,0,0,0,0,0,0,1,0,0
far,0,0,0,0,0,0,1,0,0
guitar,0,0,0,0,0,0,1,0,0
friends,0,0,0,0,0,0,1,0,0
cryin,0,0,0,0,0,0,1,0,0
nows,0,0,0,0,0,0,1,0,0
preacher,0,0,0,0,0,0,1,0,0
wedding,0,0,0,0,0,0,1,0,0
bells,0,0,0,0,0,0,1,0,0
chime,0,0,0,0,0,0,1,0,0
mine,0,0,0,0,0,0,1,0,0
chapel,0,0,0,0,0,0,0,5,0
tears,0,0,0,0,0,0,0,2,0
shed,0,0,0,0,0,0,0,1,0
joy,0,0,0,0,0,0,0,1,0
meaning,0,0,0,0,0,0,0,1,0
contentment,0,0,0,0,0,0,0,1,0
lordjust,0,0,0,0,0,0,0,1,0
plain,0,0,0,0,0,0,0,1,0
simple,0,0,0,0,0,0,0,1,0
bumble,0,0,0,0,0,0,0,1,0
people,0,0,0,0,0,0,0,2,0
pray,0,0,0,0,0,0,0,2,0
prayed,0,0,0,0,0,0,0,1,0
lord,0,0,0,0,0,0,0,1,0
grow,0,0,0,0,0,0,0,1,0
stronger,0,0,0,0,0,0,0,1,0
live,0,0,0,0,0,0,0,1,0
day,0,0,0,0,0,0,0,1,2
dayi,0,0,0,0,0,0,0,1,0
searched,0,0,0,0,0,0,0,4,0
couldnt,0,0,0,0,0,0,0,1,0
earth,0,0,0,0,0,0,0,2,0
gain,0,0,0,0,0,0,0,1,0
peace,0,0,0,0,0,0,0,2,0
mindnow,0,0,0,0,0,0,0,1,0
accord,0,0,0,0,0,0,0,2,0
yes,0,0,0,0,0,0,0,1,0
gather,0,0,0,0,0,0,0,1,0
sing,0,0,0,0,0,0,0,1,0
praise,0,0,0,0,0,0,0,1,0
lordyoull,0,0,0,0,0,0,0,1,0
search,0,0,0,0,0,0,0,2,0
mindtake,0,0,0,0,0,0,0,1,0
burdens,0,0,0,0,0,0,0,1,0
lighter,0,0,0,0,0,0,0,1,0
surely,0,0,0,0,0,0,0,2,0
sunshine,0,0,0,0,0,0,0,0,2
cloudy,0,0,0,0,0,0,0,0,2
cold,0,0,0,0,0,0,0,0,1
outside,0,0,0,0,0,0,0,0,1
moth,0,0,0,0,0,0,0,0,1
well,0,0,0,0,0,0,0,0,3
guess,0,0,0,0,0,0,0,0,3
say,0,0,0,0,0,0,0,0,3
make,0,0,0,0,0,0,0,0,3
talkin,0,0,0,0,0,0,0,0,5
bout,0,0,0,0,0,0,0,0,5
bees,0,0,0,0,0,0,0,0,1
envy,0,0,0,0,0,0,0,0,1
sweeter,0,0,0,0,0,0,0,0,1
song,0,0,0,0,0,0,0,0,1
birds,0,0,0,0,0,0,0,0,1
trees,0,0,0,0,0,0,0,0,1
money,0,0,0,0,0,0,0,0,1
fortune,0,0,0,0,0,0,0,0,1
fame,0,0,0,0,0,0,0,0,1
riches,0,0,0,0,0,0,0,0,1
claim,0,0,0,0,0,0,0,0,1
even,0,0,0,0,0,0,0,0,1
month,0,0,0,0,0,0,0,0,1
talk,0,0,0,0,0,0,0,0,1
